erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
56,57000,0.905932,0.972195,2.44185,0,0,0,0,8480,6196,4938,253,17790,10825,2159,0,19306,20541,3511,69
57,58000,0.907257,0.972747,2.40552,0,0,0,0,8317,6182,4958,248,17812,10547,2111,0,18720,20418,3355,75
58,59000,0.908622,0.972783,2.38351,0,0,0,0,8220,6125,4693,230,17656,10617,2024,0,18609,19817,3325,62
59,60000,0.910038,0.973359,2.3311,0,0,0,0,8176,6053,4793,220,17217,10466,1945,0,18259,19517,3239,77
60,61000,0.911227,0.973804,2.29732,0,0,0,0,8195,5673,4829,214,16849,10192,1992,0,18142,19497,3129,61
61,62000,0.912796,0.974417,2.25572,0,0,0,0,7878,5724,4682,231,16832,9984,1921,0,17676,18945,3260,71
62,63000,0.913965,0.974575,2.22544,0,0,0,0,7939,5698,4749,217,16340,9915,1846,0,17445,18672,3160,54
63,64000,0.91536,0.975149,2.18559,0,0,0,0,7951,5689,4436,190,16028,9593,1830,0,17005,18838,3016,64
64,65000,0.9164,0.975369,2.15754,0,0,0,0,7817,5437,4429,206,16012,9638,1823,0,16772,18421,2984,61
65,66000,0.917391,0.975525,2.1445,0,0,0,0,7781,5401,4339,192,15735,9552,1807,0,16669,18009,3065,59
66,67000,0.918766,0.975989,2.10818,0,0,0,0,7715,5244,4301,208,15435,9325,1790,0,16389,17739,3024,64
67,68000,0.919744,0.976436,2.07481,0,0,0,0,7657,5253,4307,190,15289,9304,1731,0,16144,17389,2946,46
68,69000,0.920847,0.976711,2.04398,0,0,0,0,7432,5214,4151,193,14940,9077,1879,0,16041,17262,2916,48
69,70000,0.92187,0.976747,2.02538,0,0,0,0,7452,5044,4287,168,14926,9172,1636,0,15797,16627,2968,53
70,71000,0.922902,0.977304,1.99615,0,0,0,0,7336,5102,4062,202,14199,9079,1654,0,15773,16825,2806,60
71,72000,0.92399,0.97759,1.96476,0,0,0,0,7166,5089,3976,206,14321,8987,1669,0,15426,16309,2788,73
72,73000,0.924856,0.977872,1.94261,0,0,0,0,7127,5037,3959,165,14213,8678,1595,0,15106,16500,2706,58
73,74000,0.926036,0.977889,1.92832,0,0,0,0,7038,5105,3816,168,13669,8443,1688,0,14990,16295,2694,58
74,75000,0.927305,0.978951,1.87516,0,0,0,0,6984,4780,3881,147,13960,8412,1551,0,14601,15610,2694,75
75,76000,0.927958,0.978592,1.87466,0,0,0,0,6732,4897,3815,145,13596,8277,1540,0,14664,15615,2697,64
76,77000,0.928712,0.978852,1.84701,0,0,0,0,6622,4812,3708,144,13380,8226,1572,0,14600,15499,2655,70
77,78000,0.92957,0.978995,1.83418,0,0,0,0,6761,4776,3778,124,13159,8097,1511,0,14321,15240,2609,54
78,79000,0.930501,0.979455,1.80564,0,0,0,0,6478,4640,3611,204,13488,7869,1665,0,13935,15045,2501,63
79,80000,0.931235,0.979644,1.78999,0,0,0,0,6631,4681,3608,143,13052,7864,1554,0,13635,14965,2576,56
80,81000,0.932132,0.97996,1.75762,0,0,0,0,6559,4483,3465,171,12728,7863,1555,0,13552,14908,2536,48
81,82000,0.932726,0.979979,1.75419,0,0,0,0,6311,4646,3574,143,12466,7671,1518,0,13855,14598,2441,51
82,83000,0.933494,0.980078,1.74237,0,0,0,0,6248,4490,3492,144,12362,7622,1505,0,13514,14586,2470,73
83,84000,0.934385,0.980446,1.71245,0,0,0,0,6334,4392,3350,176,12514,7505,1463,0,12936,14446,2443,56
84,85000,0.935355,0.980643,1.70354,0,0,0,0,6266,4347,3245,134,12075,7551,1477,0,12945,14044,2493,68
85,86000,0.936065,0.980954,1.66715,0,0,0,0,6097,4261,3292,152,12075,7395,1408,0,12834,14044,2315,62
86,87000,0.936342,0.981001,1.66519,0,0,0,0,6068,4390,3211,136,12072,7343,1395,0,12707,13861,2412,63
87,88000,0.93694,0.981446,1.63669,0,0,0,0,6029,4386,3326,140,11920,7354,1392,0,12681,13503,2269,60
88,89000,0.937595,0.981565,1.6241,0,0,0,0,5772,4150,3261,149,11608,7365,1409,0,12601,13737,2286,67
89,90000,0.9384,0.981675,1.60795,0,0,0,0,5788,4124,3210,137,11810,7200,1340,0,12272,13425,2233,61
90,91000,0.939218,0.981824,1.591,0,0,0,0,5839,4166,3195,152,11457,6874,1476,0,12013,13353,2206,51
91,92000,0.940152,0.982289,1.56125,0,0,0,0,5462,4354,3081,120,11147,6833,1316,0,12270,12934,2268,63
92,93000,0.940211,0.981939,1.57472,0,0,0,0,5722,3945,3157,131,11162,7000,1280,0,11977,13111,2242,62
93,94000,0.940809,0.982398,1.55191,0,0,0,0,5603,4154,3072,146,11081,6698,1339,0,11989,12808,2233,68
94,95000,0.941395,0.982593,1.52883,0,0,0,0,5632,3993,3001,145,11079,6798,1336,0,11629,12764,2179,49
95,96000,0.941976,0.98261,1.52499,0,0,0,0,5523,3991,3114,144,10761,6662,1198,0,11858,12687,2025,61
96,97000,0.942665,0.98269,1.51713,0,0,0,0,5620,3887,3018,122,10646,6562,1229,0,11453,12690,2046,62
97,98000,0.943411,0.983224,1.48175,0,0,0,0,5340,3883,2879,160,10398,6348,1270,0,11660,12428,2172,51
98,99000,0.943683,0.983269,1.47161,0,0,0,0,5399,3778,2981,130,10583,6583,1255,0,11366,12139,2053,50
99,100000,0.944464,0.983589,1.45661,0,0,0,0,5143,3935,2916,143,10303,6417,1234,0,11187,12210,1993,55
