erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
35,35000,0.115802,0.343389,0.487798,16093,10300,2.15626e+06,884199,-25.6853,-21.0757,-18.5326,-14.1639,296183,275598,288666,23752,0,0,0,0,128079,103205,129989,17107,114596,116984,90746,3936,53508,55409,67931,2709
36,36000,0.118442,0.349711,0.498307,16962,10300,2.52795e+06,881559,-25.6853,-21.0757,-18.5326,-14.1639,295703,274185,288170,23501,0,0,0,0,126817,103079,130295,17015,114145,116428,88812,3920,54741,54678,69063,2566
37,37000,0.120397,0.354246,0.504823,18391,10300,2.3482e+06,879604,-25.6853,-21.0757,-18.5326,-14.1639,294470,274468,286698,23968,0,0,0,0,125839,103374,131948,17075,114685,114972,86994,4103,53946,56122,67756,2790
38,38000,0.122541,0.358949,0.513811,19512,10300,2.38509e+06,877460,-25.6853,-21.0757,-18.5326,-14.1639,293657,273653,285896,24254,0,0,0,0,125137,105482,132157,17705,114075,113640,85569,4258,54445,54531,68170,2291
39,39000,0.125252,0.36466,0.521651,20033,10300,2.43075e+06,874749,-25.6853,-21.0757,-18.5326,-14.1639,292142,273615,284137,24855,0,0,0,0,125279,103943,133476,17954,113429,114742,83480,4218,53434,54930,67181,2683
40,40000,0.127843,0.371095,0.526435,20607,10300,2.45342e+06,872158,-25.6853,-21.0757,-18.5326,-14.1639,290854,273899,281822,25583,0,0,0,0,123032,105103,134406,18286,113886,114368,81354,4597,53936,54428,66062,2700
41,41000,0.130228,0.375691,0.534204,22477,10300,2.57203e+06,869773,-25.6853,-21.0757,-18.5326,-14.1639,290054,274376,279769,25574,0,0,0,0,122975,106330,133916,18173,113867,113433,80398,4815,53212,54613,65455,2586
42,42000,0.132373,0.380344,0.539842,22775,10300,2.71043e+06,867628,-25.6853,-21.0757,-18.5326,-14.1639,288612,274456,278690,25870,0,0,0,0,122183,107747,135251,18479,112560,113453,79035,4769,53869,53256,64404,2622
43,43000,0.1356,0.387176,0.548205,24369,10300,2.73392e+06,864401,-25.6853,-21.0757,-18.5326,-14.1639,287914,273878,276745,25864,0,0,0,0,121230,107604,134821,18559,113162,112136,78593,4782,53522,54138,63331,2523
44,44000,0.138152,0.392594,0.553412,25551,10300,2.81098e+06,861849,-25.3155,-21.0757,-18.5326,-14.1639,286803,274096,275071,25879,0,0,0,0,120745,107740,134095,18701,112579,111994,78536,4671,53479,54362,62440,2507
45,45000,0.140144,0.396693,0.55938,27180,10300,2.78866e+06,859857,-25.6853,-21.0757,-18.5326,-14.1639,286398,274533,273098,25828,0,0,0,0,120463,108913,133785,18659,112435,112428,77782,4785,53500,53192,61531,2384
46,46000,0.142516,0.401677,0.563818,27563,10300,2.97275e+06,857485,-25.3155,-21.0757,-18.5326,-14.1639,285632,274183,271648,26022,0,0,0,0,120655,108224,132747,18618,111801,111857,78148,5031,53176,54102,60753,2373
47,47000,0.145289,0.407113,0.568981,28897,10300,2.99734e+06,854712,-25.3155,-21.0757,-18.5326,-14.1639,284757,274440,269738,25777,0,0,0,0,121307,108621,130627,18770,110898,111372,79350,4849,52552,54447,59761,2158
48,48000,0.147248,0.410626,0.574067,31753,10300,3.14357e+06,852753,-25.2275,-21.0757,-18.5024,-14.1639,284230,274715,267873,25935,0,0,0,0,120292,109200,129911,18596,110937,110493,78936,5073,53001,55022,59026,2266
49,49000,0.149385,0.414791,0.581111,32822,10300,3.16514e+06,850616,-25.3155,-21.0757,-18.5024,-14.1639,283148,274526,266877,26065,0,0,0,0,119476,109575,129317,18009,111553,109802,78919,5625,52119,55149,58641,2431
