erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
91,91000,0.27297,0.650608,0.750274,8121,1388,5.13228e+06,727031,-25.0158,-22.583,-99,-99,716878,10153,0,0,0,0,0,0,0,0,0,0,403103,6082,0,0,313775,4071,0,0
92,92000,0.275345,0.653838,0.75292,6760,1388,5.31712e+06,724656,-25.0158,-22.583,-99,-99,714460,10196,0,0,0,0,0,0,0,0,0,0,401770,6016,0,0,312690,4180,0,0
93,93000,0.277577,0.655961,0.75527,6563,1388,5.26652e+06,722424,-25.0158,-22.583,-99,-99,712446,9978,0,0,0,0,0,0,0,0,0,0,399733,5938,0,0,312713,4040,0,0
94,94000,0.279148,0.656841,0.75974,7169,1388,5.44865e+06,720853,-25.0158,-22.583,-99,-99,710760,10093,0,0,0,0,0,0,0,0,0,0,397895,6006,0,0,312865,4087,0,0
95,95000,0.282047,0.661643,0.759556,7137,1388,5.38701e+06,717954,-25.0158,-22.6229,-99,-99,708011,9943,0,0,0,0,0,0,0,0,0,0,397580,6015,0,0,310431,3928,0,0
96,96000,0.283872,0.663322,0.76181,7571,1388,5.29326e+06,716129,-25.0158,-22.583,-99,-99,706155,9974,0,0,0,0,0,0,0,0,0,0,395696,6085,0,0,310459,3889,0,0
97,97000,0.285919,0.664791,0.764757,7145,1388,5.62116e+06,714082,-25.0158,-22.583,-99,-99,704231,9851,0,0,0,0,0,0,0,0,0,0,394397,5936,0,0,309834,3915,0,0
98,98000,0.287722,0.667224,0.766571,6532,1463,5.36138e+06,712279,-25.0158,-22.4622,-99,-99,702596,9683,0,0,0,0,0,0,0,0,0,0,392877,5719,0,0,309719,3964,0,0
99,99000,0.290431,0.670164,0.766397,6903,1463,5.57894e+06,709570,-25.0158,-22.583,-99,-99,699720,9850,0,0,0,0,0,0,0,0,0,0,391730,5944,0,0,307990,3906,0,0
100,100000,0.292019,0.672536,0.769026,7209,1463,5.4319e+06,707982,-25.0158,-22.4622,-99,-99,697975,10007,0,0,0,0,0,0,0,0,0,0,390644,5972,0,0,307331,4035,0,0
erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
1,1000,0,0,0.0271914,0,1201,95228.4,1000001,-36.2415,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,568543,0,0,0,431458,0,0,0
2,2000,0,0,0.0529612,0,1201,145554,1000001,-32.3819,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,535026,0,0,0,464975,0,0,0
3,3000,0,0,0.076432,0,1201,197135,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,511853,0,0,0,488148,0,0,0
4,4000,0,0,0.100076,0,1201,258217,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,503841,0,0,0,496160,0,0,0
5,5000,0,0,0.1244,0,1201,312875,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,494618,0,0,0,505383,0,0,0
6,6000,0,0,0.148807,0,1201,380053,1000001,-31.47,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,495184,0,0,0,504817,0,0,0
7,7000,0,0,0.173048,0,1201,437118,1000001,-26.8521,-99,-99,-99,1e+06,0,0,0,0,0,0,0,0,0,0,0,498219,0,0,0,501782,0,0,0
8,8000,0,0,0.196515,0,1201,493288,1000001,-25.3906,-23.9299,-99,-99,999984,17,0,0,0,0,0,0,0,0,0,0,501134,17,0,0,498850,0,0,0
9,9000,0,0,0.220836,0,1201,564287,1000001,-25.3906,-23.3996,-99,-99,999841,160,0,0,0,0,0,0,0,0,0,0,503137,140,0,0,496704,20,0,0
10,10000,0,0,0.245915,0,1201,641783,1000001,-25.3906,-23.3996,-99,-99,998800,1201,0,0,0,0,0,0,0,0,0,0,503699,787,0,0,495101,414,0,0
