erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 26, erlang: 26000, general blocking: 8.19999e-05, BBP: 0.000256952, Total current utilization: 0.224885, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 9.73259e+06, conexiones exitosas: 999919, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :915107, conexiones exitosas con 8QAM :84812, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 27, erlang: 27000, general blocking: 0.000219, BBP: 0.00068625, Total current utilization: 0.233097, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.03875e+07, conexiones exitosas: 999782, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :915025, conexiones exitosas con 8QAM :84757, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 28, erlang: 28000, general blocking: 0.000325, BBP: 0.00101841, Total current utilization: 0.240127, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.12935e+07, conexiones exitosas: 999676, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :916141, conexiones exitosas con 8QAM :83535, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 29, erlang: 29000, general blocking: 0.000641999, BBP: 0.00201175, Total current utilization: 0.246954, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.12595e+07, conexiones exitosas: 999359, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :915753, conexiones exitosas con 8QAM :83606, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 30, erlang: 30000, general blocking: 0.001083, BBP: 0.00339365, Total current utilization: 0.255105, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.19206e+07, conexiones exitosas: 998918, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :916425, conexiones exitosas con 8QAM :82493, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 31, erlang: 31000, general blocking: 0.001708, BBP: 0.00535212, Total current utilization: 0.262026, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.21273e+07, conexiones exitosas: 998293, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :917038, conexiones exitosas con 8QAM :81255, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 32, erlang: 32000, general blocking: 0.00278, BBP: 0.0087113, Total current utilization: 0.269106, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.23343e+07, conexiones exitosas: 997221, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :917266, conexiones exitosas con 8QAM :79955, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 33, erlang: 33000, general blocking: 0.003783, BBP: 0.0118543, Total current utilization: 0.275479, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.34371e+07, conexiones exitosas: 996218, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :917773, conexiones exitosas con 8QAM :78445, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 34, erlang: 34000, general blocking: 0.004801, BBP: 0.0150442, Total current utilization: 0.282838, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.36755e+07, conexiones exitosas: 995200, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :917783, conexiones exitosas con 8QAM :77417, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 35, erlang: 35000, general blocking: 0.00630999, BBP: 0.019769, Total current utilization: 0.287887, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.47041e+07, conexiones exitosas: 993691, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :918091, conexiones exitosas con 8QAM :75600, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 36, erlang: 36000, general blocking: 0.00785599, BBP: 0.0246061, Total current utilization: 0.292721, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.51105e+07, conexiones exitosas: 992145, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :917144, conexiones exitosas con 8QAM :75001, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 37, erlang: 37000, general blocking: 0.00981099, BBP: 0.0307042, Total current utilization: 0.2971, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.52238e+07, conexiones exitosas: 990190, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :917069, conexiones exitosas con 8QAM :73121, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 38, erlang: 38000, general blocking: 0.011429, BBP: 0.0357799, Total current utilization: 0.303483, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.55964e+07, conexiones exitosas: 988572, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :916463, conexiones exitosas con 8QAM :72109, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 39, erlang: 39000, general blocking: 0.013316, BBP: 0.0416743, Total current utilization: 0.307524, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.58257e+07, conexiones exitosas: 986685, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :915624, conexiones exitosas con 8QAM :71061, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 40, erlang: 40000, general blocking: 0.015675, BBP: 0.0490477, Total current utilization: 0.312371, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.62312e+07, conexiones exitosas: 984326, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :914537, conexiones exitosas con 8QAM :69789, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 41, erlang: 41000, general blocking: 0.017888, BBP: 0.0559767, Total current utilization: 0.318163, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.63808e+07, conexiones exitosas: 982113, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :913381, conexiones exitosas con 8QAM :68732, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
