erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 23, erlang: 23000, general blocking: 0.0729839, BBP: 0.226458, Total current utilization: 0.306862, Blocked by XT: 12945, Ruta mas larga: 9800, tiempo transcurrido: 7.89633e+06, conexiones exitosas: 927017, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :134521, conexiones exitosas con 8QAM :237898, conexiones exitosas con QPSK :370413, conexiones exitosas con BPSK :184185
erlang index: 24, erlang: 24000, general blocking: 0.0767379, BBP: 0.236974, Total current utilization: 0.313713, Blocked by XT: 13260, Ruta mas larga: 9800, tiempo transcurrido: 7.94096e+06, conexiones exitosas: 923263, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :134523, conexiones exitosas con 8QAM :237034, conexiones exitosas con QPSK :369554, conexiones exitosas con BPSK :182152
erlang index: 25, erlang: 25000, general blocking: 0.0800629, BBP: 0.246084, Total current utilization: 0.317282, Blocked by XT: 14537, Ruta mas larga: 9800, tiempo transcurrido: 8.38027e+06, conexiones exitosas: 919938, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :134254, conexiones exitosas con 8QAM :237318, conexiones exitosas con QPSK :369024, conexiones exitosas con BPSK :179342
erlang index: 26, erlang: 26000, general blocking: 0.0842829, BBP: 0.257504, Total current utilization: 0.323978, Blocked by XT: 15385, Ruta mas larga: 9800, tiempo transcurrido: 8.80449e+06, conexiones exitosas: 915718, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :135001, conexiones exitosas con 8QAM :236651, conexiones exitosas con QPSK :368366, conexiones exitosas con BPSK :175700
erlang index: 27, erlang: 27000, general blocking: 0.0868209, BBP: 0.263803, Total current utilization: 0.329248, Blocked by XT: 16025, Ruta mas larga: 10000, tiempo transcurrido: 8.89237e+06, conexiones exitosas: 913180, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :135091, conexiones exitosas con 8QAM :236635, conexiones exitosas con QPSK :367981, conexiones exitosas con BPSK :173473
erlang index: 28, erlang: 28000, general blocking: 0.0908779, BBP: 0.273861, Total current utilization: 0.337715, Blocked by XT: 17282, Ruta mas larga: 10000, tiempo transcurrido: 9.60031e+06, conexiones exitosas: 909123, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :136261, conexiones exitosas con 8QAM :235697, conexiones exitosas con QPSK :365118, conexiones exitosas con BPSK :172047
erlang index: 29, erlang: 29000, general blocking: 0.0942219, BBP: 0.281728, Total current utilization: 0.341558, Blocked by XT: 18380, Ruta mas larga: 10000, tiempo transcurrido: 1.04194e+07, conexiones exitosas: 905779, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :136554, conexiones exitosas con 8QAM :235303, conexiones exitosas con QPSK :363111, conexiones exitosas con BPSK :170811
erlang index: 30, erlang: 30000, general blocking: 0.0971659, BBP: 0.288505, Total current utilization: 0.347548, Blocked by XT: 19258, Ruta mas larga: 10000, tiempo transcurrido: 1.01895e+07, conexiones exitosas: 902835, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :137318, conexiones exitosas con 8QAM :234219, conexiones exitosas con QPSK :360668, conexiones exitosas con BPSK :170630
erlang index: 31, erlang: 31000, general blocking: 0.100075, BBP: 0.295154, Total current utilization: 0.352363, Blocked by XT: 20709, Ruta mas larga: 10300, tiempo transcurrido: 1.0773e+07, conexiones exitosas: 899926, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :137772, conexiones exitosas con 8QAM :233457, conexiones exitosas con QPSK :358336, conexiones exitosas con BPSK :170361
erlang index: 32, erlang: 32000, general blocking: 0.103314, BBP: 0.302842, Total current utilization: 0.357567, Blocked by XT: 21927, Ruta mas larga: 10300, tiempo transcurrido: 1.10196e+07, conexiones exitosas: 896687, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :138392, conexiones exitosas con 8QAM :232470, conexiones exitosas con QPSK :354552, conexiones exitosas con BPSK :171273
