erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
88,89000,0.518219,0.821218,8.84182,26220,70266,21616,0,160783,0,0,0,112338,0,0,0,90558,0,0,0
89,90000,0.521563,0.822276,8.77834,26446,69607,21086,0,159275,0,0,0,112495,0,0,0,89528,0,0,0
90,91000,0.524194,0.823166,8.69246,26788,70524,19607,0,158503,0,0,0,111230,0,0,0,89154,0,0,0
91,92000,0.525313,0.824279,8.65342,27037,70678,20050,0,157786,0,0,0,110855,0,0,0,88281,0,0,0
92,93000,0.528414,0.824346,8.59624,26466,70906,19394,0,156656,0,0,0,110318,0,0,0,87846,0,0,0
93,94000,0.53056,0.827249,8.50107,26063,71659,19302,0,156685,0,0,0,109618,0,0,0,86113,0,0,0
94,95000,0.532144,0.827271,8.46489,26737,71973,19652,0,154746,0,0,0,108714,0,0,0,86034,0,0,0
95,96000,0.53553,0.8292,8.37823,26223,71841,19292,0,154034,0,0,0,107846,0,0,0,85234,0,0,0
96,97000,0.537522,0.829152,8.33225,26118,72952,18249,0,153210,0,0,0,107546,0,0,0,84403,0,0,0
97,98000,0.540145,0.831289,8.25171,26710,71620,18206,0,152216,0,0,0,106635,0,0,0,84468,0,0,0
98,99000,0.542104,0.831991,8.2014,27521,72192,17858,0,150783,0,0,0,106524,0,0,0,83018,0,0,0
99,100000,0.544106,0.83213,8.166,27257,72256,17866,0,150524,0,0,0,105790,0,0,0,82201,0,0,0
