erlang_index,erlang,general_blocking,Total_current_utilization,BBP,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
54,55000,0.889909,0.967396,1.71721,757,3652,2206,5845,8840,6452,5350,208,17833,11758,2295,0,20554,20849,3410,82
55,56000,0.891309,0.967786,1.69246,819,3729,2230,5697,8740,6247,5336,259,17462,11390,2165,0,20473,20734,3348,62
56,57000,0.893153,0.968501,1.6607,709,3719,2251,5605,8617,6181,5107,216,17025,10963,2198,0,20225,20755,3193,83
57,58000,0.894981,0.968811,1.63636,738,3809,2099,5708,8649,5684,5005,214,16707,10999,2187,0,19891,20134,3126,69
58,59000,0.896645,0.969453,1.60704,731,3593,2077,5337,8322,5911,5156,231,16380,10864,2201,0,19344,19897,3248,63
59,60000,0.897864,0.969918,1.57888,698,3507,2074,5461,8508,6044,4979,214,16355,10651,2119,0,18918,19498,3044,66
60,61000,0.899551,0.970172,1.56132,802,3626,2198,5393,8246,5706,4994,204,16012,10510,2043,0,18417,19159,3079,60
61,62000,0.901107,0.970849,1.53545,713,3432,2133,5378,8279,5860,4738,201,15959,10394,1930,0,18050,18754,3006,66
62,63000,0.902416,0.971209,1.51321,725,3412,2082,5198,8090,5546,4866,204,15365,10169,1933,0,18308,18528,3086,72
63,64000,0.903578,0.971765,1.49118,681,3585,1957,5065,8023,5741,4748,198,15265,10149,1922,0,17803,18282,2924,79
64,65000,0.90512,0.971706,1.48131,687,3326,1921,5284,7927,5458,4609,175,15156,9804,2014,0,17683,17878,2878,80
65,66000,0.906767,0.972165,1.45332,741,3127,1929,5086,7740,5515,4357,185,14890,9994,1869,0,17184,17644,2896,76
66,67000,0.90784,0.972518,1.4362,691,3336,2027,4852,7832,5364,4431,180,14403,9472,1856,0,17174,17629,2828,85
67,68000,0.909099,0.973339,1.40272,738,3194,1974,4876,7619,5350,4334,160,14319,9647,1907,0,16835,17139,2735,74
68,69000,0.910218,0.973518,1.387,692,3245,1940,4775,7745,5234,4184,156,14484,9267,1781,0,16539,16903,2767,70
69,70000,0.911506,0.973832,1.37431,615,3067,1973,4795,7496,5093,4354,155,13759,9474,1838,0,16206,16955,2652,62
70,71000,0.912549,0.974379,1.35203,590,3107,1986,4620,7413,5195,4243,163,13941,8944,1786,0,15881,16742,2775,65
71,72000,0.913823,0.974658,1.33708,717,2893,1874,4627,7323,5186,4098,164,13695,8949,1746,0,15598,16572,2657,78
72,73000,0.914571,0.974938,1.31995,754,3136,1918,4599,7311,5084,3986,155,13499,8787,1817,0,15583,16154,2574,72
73,74000,0.91575,0.975019,1.30638,643,3050,1809,4497,7229,4917,4078,131,13412,8863,1646,0,15506,15923,2477,69
74,75000,0.91659,0.975326,1.29207,696,2902,1841,4443,7227,4988,3981,129,13114,8611,1707,0,15213,16172,2323,63
75,76000,0.918018,0.975401,1.27914,681,2973,1677,4539,6869,4592,3901,161,13193,8434,1710,0,15063,15728,2393,68
76,77000,0.918554,0.975915,1.2616,666,2846,1803,4329,6905,4690,3998,148,13094,8376,1683,0,14834,15485,2521,68
77,78000,0.919604,0.976303,1.24062,640,2880,1777,4484,6772,4770,3933,151,12926,8143,1685,0,14564,15308,2300,63
78,79000,0.920662,0.976515,1.23109,657,2736,1637,4301,6701,4584,3879,172,12475,8321,1572,0,14671,15242,2325,65
79,80000,0.92181,0.976909,1.21253,579,2710,1698,4323,6592,4460,3793,143,12428,8033,1573,0,14448,15039,2302,69
80,81000,0.922422,0.977176,1.20165,592,2716,1703,4235,6675,4636,3766,147,12066,8119,1579,0,14035,14903,2330,76
81,82000,0.923617,0.97752,1.18817,588,2848,1723,4152,6422,4563,3611,167,11882,7890,1596,0,13770,14823,2286,62
82,83000,0.924331,0.977507,1.17696,538,2665,1748,4270,6514,4382,3647,156,11942,7747,1433,0,13820,14522,2227,58
83,84000,0.925457,0.977964,1.16012,594,2692,1720,4226,6187,4474,3514,162,11719,7721,1500,0,13347,14395,2226,66
84,85000,0.926027,0.978064,1.15074,575,2681,1614,4094,6343,4412,3569,166,11626,7593,1515,0,13411,14133,2187,54
85,86000,0.926839,0.978442,1.13823,529,2533,1629,4103,6210,4403,3500,132,11641,7554,1545,0,13131,14215,1982,54
86,87000,0.927704,0.978825,1.11834,573,2560,1539,4027,6172,4292,3411,164,11383,7405,1399,0,13091,14076,2135,69
87,88000,0.928304,0.97864,1.11736,600,2442,1535,3935,6216,4313,3238,154,11404,7509,1506,0,12840,13779,2166,59
88,89000,0.929247,0.978779,1.11043,676,2504,1610,3872,5963,4128,3375,152,11100,7424,1405,0,12720,13639,2124,61
89,90000,0.930125,0.979277,1.09264,566,2439,1531,3892,5971,4192,3329,137,10896,7209,1536,0,12655,13365,2090,67
90,91000,0.930849,0.979493,1.07853,528,2579,1576,3795,5851,4052,3258,154,10816,7259,1380,0,12456,13293,2091,63
91,92000,0.93167,0.979939,1.06146,522,2456,1432,3786,5885,4020,3230,133,10833,7101,1385,0,12210,13300,1971,66
92,93000,0.932082,0.979626,1.06685,524,2364,1473,3883,5659,3917,3213,150,10884,6880,1413,0,12234,13219,2047,58
93,94000,0.932789,0.980158,1.04755,546,2268,1520,3767,5717,3903,3189,171,10569,6978,1376,0,12249,12935,1965,58
94,95000,0.933843,0.980471,1.03173,504,2354,1420,3658,5809,3938,3079,171,10367,6790,1387,0,11778,12856,1991,55
95,96000,0.934284,0.980375,1.03056,509,2338,1401,3670,5486,3987,3151,125,10392,6910,1324,0,12056,12366,1944,57
96,97000,0.93486,0.980784,1.01836,481,2433,1349,3534,5415,3959,3190,119,10152,6860,1412,0,11649,12609,1918,60
97,98000,0.935528,0.980914,1.00856,493,2232,1367,3641,5452,4021,3050,123,10328,6618,1376,0,11496,12312,1904,59
98,99000,0.936017,0.980984,1.00275,464,2306,1480,3526,5390,3975,3163,116,10145,6384,1346,0,11518,12223,1899,48
99,100000,0.936674,0.98139,0.989071,508,2265,1395,3566,5382,4000,3091,125,9839,6632,1275,0,11396,11986,1807,59
